Company,Global_Head,Region,Country,City,Depot_ID,Depot_Name,Vehicle_ID,Vehicle_Type,Fuel_Type,Vehicle_Capacity_Kg,Driver_ID,Driver_Name,Driver_Experience_Years,Trip_ID,Trip_Date,Month_Name,Quarter,Day_of_Week,Route_ID,Route_Name,Planned_Distance_KM,Actual_Distance_KM,Planned_Duration_Min,Actual_Duration_Min,Fuel_Consumed_Liters,Energy_Used_kWh,Fuel_Efficiency,Fuel_Efficiency_Unit,Deliveries_Planned,Deliveries_Completed,Deliveries_Failed,On_Time_Delivery,Vehicle_Downtime_Minutes,Downtime_Reason,Idle_Time_Minutes,Safety_Incident_Flag,Incident_Type,Load_Weight_Kg,Load_Utilization_Percent,Route_Efficiency_Score,CO2_Emissions_Kg,Cost_per_KM_USD,Total_Trip_Cost_USD
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,Europe,UK,London,DEP005,London Distribution Depot,VEH0017,Delivery Van,Diesel,1200,DRV0018,John Rossi,1.5,TRIP601571,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-Suburb,Route-Suburb,95.4,97.7,150.4,183.3,7.33,0.0,13.32,km/L,17,16,1,No,4.6,No Downtime,37.7,Yes,Minor Accident,1066.0,88.83,80.12,19.64,0.851,90.58
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,Europe,UK,London,DEP005,London Distribution Depot,VEH0018,Refrigerated Truck,Diesel,5000,DRV0019,David Muller,14.9,TRIP601667,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-Suburb,Route-Suburb,177.5,182.6,237.6,254.2,24.12,0.0,7.57,km/L,6,6,0,Yes,4.0,No Downtime,32.0,No,None,2817.6,56.35,90.86,64.64,0.754,165.73
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,Europe,UK,London,DEP005,London Distribution Depot,VEH0019,Box Truck,Diesel,4500,DRV0020,Wei Patel,1.3,TRIP601771,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-Downtown,Route-Downtown,120.6,126.0,178.6,214.8,18.86,0.0,6.68,km/L,13,13,0,Yes,29.5,Traffic Delay,20.1,Yes,Near Miss,1537.9,34.18,79.58,50.54,0.355,64.82
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,Europe,UK,London,DEP005,London Distribution Depot,VEH0020,Two-Wheeler (Last Mile),Petrol,40,DRV0021,Sam Meyer,1.7,TRIP601852,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-Central,Route-Central,132.1,137.1,147.9,155.4,3.36,0.0,40.78,km/L,25,24,1,No,17.0,Weather Delay,15.5,No,None,32.1,80.25,91.7,9.0,0.438,63.98
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,Europe,UK,Manchester,DEP006,Manchester Distribution Depot,VEH0023,Two-Wheeler (Last Mile),Petrol,40,DRV0024,Wei Garcia,11.2,TRIP602116,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-Downtown,Route-Downtown,150.8,157.6,223.1,257.0,4.12,0.0,38.22,km/L,12,12,0,Yes,0.7,No Downtime,19.0,Yes,Minor Accident,14.6,36.5,83.06,11.04,0.768,125.72
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,Europe,UK,Manchester,DEP006,Manchester Distribution Depot,VEH0024,Two-Wheeler (Last Mile),Petrol,40,DRV0025,Maria Meyer,3.4,TRIP602224,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-Express,Route-Express,91.4,90.3,134.4,148.7,2.26,0.0,39.9,km/L,10,9,1,No,1.9,No Downtime,25.0,Yes,Traffic Violation,16.9,42.25,91.48,6.06,0.375,36.79
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,Europe,Germany,Berlin,DEP007,Berlin Distribution Depot,VEH0025,Two-Wheeler (Last Mile),Petrol,40,DRV0026,Fatima Reddy,11.7,TRIP602318,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-West,Route-West,78.0,80.2,123.2,137.6,2.17,0.0,37.0,km/L,9,7,2,No,34.3,Traffic Delay,7.3,No,None,27.9,69.75,87.08,5.82,0.736,61.44
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,Europe,Germany,Berlin,DEP007,Berlin Distribution Depot,VEH0027,Delivery Van,Diesel,1200,DRV0028,Sofia Weber,5.7,TRIP602509,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-West,Route-West,192.4,205.3,219.1,262.5,13.31,0.0,15.43,km/L,8,7,1,No,1.3,No Downtime,34.1,No,None,619.1,51.59,78.22,35.67,0.386,92.82
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,Europe,Germany,Munich,DEP008,Munich Distribution Depot,VEH0029,Refrigerated Truck,Diesel,5000,DRV0030,Carlos Turner,8.4,TRIP602708,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-Downtown,Route-Downtown,165.1,175.7,261.2,313.3,25.43,0.0,6.91,km/L,17,15,2,No,4.5,No Downtime,15.4,No,None,1615.8,32.32,78.34,68.15,0.396,99.92
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,Europe,Germany,Munich,DEP008,Munich Distribution Depot,VEH0030,Delivery Van,Diesel,1200,DRV0031,Fatima Turner,7.6,TRIP602792,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-Suburb,Route-Suburb,81.1,87.4,125.0,131.7,6.14,0.0,14.24,km/L,10,10,0,Yes,1.7,No Downtime,31.5,No,None,716.3,59.69,88.07,16.46,0.61,59.7
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,Europe,Germany,Munich,DEP008,Munich Distribution Depot,VEH0031,Delivery Van,Diesel,1200,DRV0032,Maria Clark,2.7,TRIP602892,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-Suburb,Route-Suburb,175.5,182.6,299.3,307.5,11.53,0.0,15.84,km/L,11,11,0,Yes,0.9,No Downtime,14.6,No,None,618.2,51.52,93.55,30.9,0.845,167.44
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,APAC,India,Mumbai,DEP009,Mumbai Distribution Depot,VEH0034,Delivery Van,Electric,1200,DRV0035,John Meyer,2.4,TRIP603205,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-East,Route-East,84.6,89.0,140.1,142.1,0.0,22.06,4.03,km/kWh,4,4,0,Yes,17.5,Loading/Unloading Delay,33.7,No,None,577.0,48.08,93.72,9.93,0.552,52.48
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,APAC,India,Mumbai,DEP009,Mumbai Distribution Depot,VEH0035,Delivery Van,Diesel,1200,DRV0036,Aisha Kim,8.8,TRIP603299,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-Suburb,Route-Suburb,213.0,226.7,274.3,322.0,15.81,0.0,14.34,km/L,21,21,0,Yes,2.7,No Downtime,38.3,No,None,479.6,39.97,80.04,42.37,0.828,207.46
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,APAC,India,Mumbai,DEP009,Mumbai Distribution Depot,VEH0036,Box Truck,Diesel,4500,DRV0037,Kenji Silva,1.9,TRIP603393,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-East,Route-East,200.6,198.6,229.6,285.8,29.91,0.0,6.64,km/L,19,19,0,No,42.5,Traffic Delay,16.5,No,None,2084.2,46.32,81.14,80.16,0.76,189.31
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,APAC,India,Bangalore,DEP010,Bangalore Distribution Depot,VEH0037,Delivery Van,Diesel,1200,DRV0038,Fatima Turner,4.9,TRIP603489,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-Airport,Route-Airport,92.2,91.3,134.5,167.0,6.61,0.0,13.82,km/L,16,16,0,Yes,0.7,No Downtime,25.4,No,None,538.8,44.9,81.33,17.71,0.386,42.18
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,APAC,India,Bangalore,DEP010,Bangalore Distribution Depot,VEH0039,Box Truck,Diesel,4500,DRV0040,Grace Nguyen,3.8,TRIP603682,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-Suburb,Route-Suburb,182.8,181.7,219.6,253.7,18.69,0.0,9.72,km/L,16,16,0,No,20.7,Loading/Unloading Delay,30.2,No,None,2071.6,46.04,87.08,50.09,0.786,162.27
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,APAC,Australia,Sydney,DEP011,Sydney Distribution Depot,VEH0042,Box Truck,Diesel,4500,DRV0043,Priya Ahmed,7.0,TRIP603961,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-Downtown,Route-Downtown,132.5,139.3,163.9,183.3,16.58,0.0,8.4,km/L,17,17,0,Yes,4.3,No Downtime,20.3,No,None,2481.0,55.13,85.05,44.43,0.378,70.74
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,APAC,Australia,Sydney,DEP011,Sydney Distribution Depot,VEH0043,Two-Wheeler (Last Mile),Petrol,40,DRV0044,Kenji Singh,8.7,TRIP604047,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-West,Route-West,87.2,87.4,134.5,159.4,2.3,0.0,37.98,km/L,15,13,2,No,19.4,Traffic Delay,27.5,Yes,Near Miss,22.7,56.75,84.19,6.16,0.493,45.98
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,APAC,Australia,Sydney,DEP011,Sydney Distribution Depot,VEH0044,Delivery Van,Diesel,1200,DRV0045,Priya Ito,11.6,TRIP604143,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-Downtown,Route-Downtown,77.9,82.4,96.0,116.3,6.7,0.0,12.3,km/L,19,14,5,No,121.8,Scheduled Maintenance,36.0,No,None,783.8,65.32,78.04,17.96,0.502,48.84
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,APAC,Australia,Melbourne,DEP012,Melbourne Distribution Depot,VEH0046,Two-Wheeler (Last Mile),Petrol,40,DRV0047,Sam Khan,6.0,TRIP604349,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-Airport,Route-Airport,195.7,202.3,302.2,360.6,4.79,0.0,42.25,km/L,8,7,1,No,54.4,Weather Delay,6.4,No,None,37.3,93.25,81.07,12.84,0.609,128.74
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,APAC,Australia,Melbourne,DEP012,Melbourne Distribution Depot,VEH0047,Box Truck,Diesel,4500,DRV0048,David Bell,14.2,TRIP604447,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-South,Route-South,65.9,70.0,96.1,113.2,7.87,0.0,8.89,km/L,17,17,0,Yes,1.0,No Downtime,15.7,No,None,2827.1,62.82,79.92,21.09,0.836,67.48
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,North America,USA,Dallas,DEP001,Dallas Distribution Depot,VEH0001,Refrigerated Truck,Diesel,5000,DRV0002,Sam Silva,8.5,TRIP600001,2026-01-02,Jan-2026,Q1,Friday,RT-Route-Airport,Route-Airport,171.1,180.9,235.4,234.1,31.19,0.0,5.8,km/L,9,8,1,No,98.1,Minor Accident,26.0,No,None,3876.0,77.52,95.11,83.59,0.386,103.48
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,North America,USA,Dallas,DEP001,Dallas Distribution Depot,VEH0003,Delivery Van,Diesel,1200,DRV0004,Alex Garcia,9.7,TRIP600194,2026-01-02,Jan-2026,Q1,Friday,RT-Route-Express,Route-Express,213.8,230.4,296.2,340.3,18.45,0.0,12.49,km/L,21,21,0,Yes,13.9,Loading/Unloading Delay,20.3,Yes,Near Miss,664.8,55.4,80.77,49.45,0.574,156.01
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,North America,USA,Dallas,DEP001,Dallas Distribution Depot,VEH0004,Box Truck,Diesel,4500,DRV0005,Tom Rossi,2.0,TRIP600287,2026-01-02,Jan-2026,Q1,Friday,RT-Route-North,Route-North,195.9,197.1,327.1,365.5,27.64,0.0,7.13,km/L,13,13,0,Yes,1.5,No Downtime,21.2,No,None,2181.9,48.49,88.95,74.08,0.502,131.54
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,North America,USA,Chicago,DEP002,Chicago Distribution Depot,VEH0007,Delivery Van,Diesel,1200,DRV0008,Fatima Ahmed,14.9,TRIP600585,2026-01-02,Jan-2026,Q1,Friday,RT-Route-North,Route-North,160.7,169.4,202.6,251.6,11.35,0.0,14.92,km/L,17,17,0,Yes,28.5,Traffic Delay,16.5,No,None,480.5,40.04,76.39,30.42,0.402,80.94
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,North America,USA,Chicago,DEP002,Chicago Distribution Depot,VEH0008,Refrigerated Truck,Diesel,5000,DRV0009,Wei Clark,0.8,TRIP600692,2026-01-02,Jan-2026,Q1,Friday,RT-Route-Central,Route-Central,86.5,85.5,135.9,134.3,15.63,0.0,5.47,km/L,4,4,0,Yes,1.6,No Downtime,31.2,No,None,4652.5,93.05,102.37,41.89,0.437,54.16
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,North America,Canada,Toronto,DEP003,Toronto Distribution Depot,VEH0009,Refrigerated Truck,Diesel,5000,DRV0010,Sam Reddy,3.4,TRIP600790,2026-01-02,Jan-2026,Q1,Friday,RT-Route-Airport,Route-Airport,126.4,132.0,168.5,172.2,17.62,0.0,7.49,km/L,4,4,0,Yes,29.2,Traffic Delay,7.0,No,None,2550.6,51.01,93.7,47.22,0.536,89.8
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,North America,Canada,Toronto,DEP003,Toronto Distribution Depot,VEH0010,Box Truck,Diesel,4500,DRV0011,Kenji Kim,12.4,TRIP600881,2026-01-02,Jan-2026,Q1,Friday,RT-Route-East,Route-East,181.4,195.3,241.3,234.1,23.9,0.0,8.17,km/L,6,5,1,No,36.7,Traffic Delay,9.6,No,None,3543.2,78.74,95.74,64.05,0.859,196.57
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,North America,Canada,Toronto,DEP003,Toronto Distribution Depot,VEH0012,Two-Wheeler (Last Mile),Petrol,40,DRV0013,John Ito,13.2,TRIP601084,2026-01-02,Jan-2026,Q1,Friday,RT-Route-East,Route-East,86.6,86.1,146.9,146.8,1.97,0.0,43.62,km/L,14,14,0,Yes,19.4,Weather Delay,33.1,No,None,21.2,53.0,100.65,5.28,0.89,78.82
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,North America,Canada,Vancouver,DEP004,Vancouver Distribution Depot,VEH0013,Refrigerated Truck,Diesel,5000,DRV0014,Carlos Meyer,1.4,TRIP601187,2026-01-02,Jan-2026,Q1,Friday,RT-Route-Express,Route-Express,126.6,134.2,140.9,157.5,21.82,0.0,6.15,km/L,9,9,0,Yes,4.2,No Downtime,6.8,No,None,4734.1,94.68,84.39,58.48,0.781,130.92
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,North America,Canada,Vancouver,DEP004,Vancouver Distribution Depot,VEH0016,Delivery Van,Electric,1200,DRV0017,Sam Nguyen,2.8,TRIP601484,2026-01-02,Jan-2026,Q1,Friday,RT-Route-Downtown,Route-Downtown,47.9,47.0,68.4,74.8,0.0,10.86,4.33,km/kWh,13,13,0,Yes,4.1,No Downtime,17.9,No,None,390.7,32.56,93.19,4.89,0.507,25.02
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,Europe,UK,London,DEP005,London Distribution Depot,VEH0017,Delivery Van,Diesel,1200,DRV0018,John Rossi,1.5,TRIP601572,2026-01-02,Jan-2026,Q1,Friday,RT-Route-Suburb,Route-Suburb,168.5,171.5,229.4,280.2,10.86,0.0,15.79,km/L,11,11,0,Yes,2.7,No Downtime,8.3,No,None,1036.2,86.35,80.44,29.1,0.749,140.3
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,Europe,UK,London,DEP005,London Distribution Depot,VEH0018,Refrigerated Truck,Diesel,5000,DRV0019,David Muller,14.9,TRIP601668,2026-01-02,Jan-2026,Q1,Friday,RT-Route-Suburb,Route-Suburb,130.3,128.7,195.1,204.4,16.23,0.0,7.93,km/L,16,16,0,Yes,15.3,Loading/Unloading Delay,19.8,No,None,3788.2,75.76,96.64,43.5,0.827,125.5
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,Europe,UK,London,DEP005,London Distribution Depot,VEH0020,Two-Wheeler (Last Mile),Petrol,40,DRV0021,Sam Meyer,1.7,TRIP601853,2026-01-02,Jan-2026,Q1,Friday,RT-Route-Central,Route-Central,180.1,185.2,200.2,229.6,4.47,0.0,41.39,km/L,29,24,5,No,84.5,Minor Accident,17.6,Yes,Traffic Violation,23.5,58.75,84.79,11.98,0.864,165.42
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,Europe,UK,Manchester,DEP006,Manchester Distribution Depot,VEH0021,Box Truck,Diesel,4500,DRV0022,Sofia Khan,3.6,TRIP601940,2026-01-02,Jan-2026,Q1,Friday,RT-Route-East,Route-East,184.2,181.2,243.1,295.7,20.54,0.0,8.82,km/L,18,11,7,No,67.5,Minor Accident,31.1,No,None,1862.3,41.38,83.57,55.05,0.49,109.8
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,Europe,UK,Manchester,DEP006,Manchester Distribution Depot,VEH0022,Delivery Van,Diesel,1200,DRV0023,Priya Turner,12.0,TRIP602031,2026-01-02,Jan-2026,Q1,Friday,RT-Route-Downtown,Route-Downtown,176.0,175.0,249.3,251.7,10.86,0.0,16.12,km/L,11,11,0,Yes,2.1,No Downtime,27.8,No,None,1121.5,93.46,99.61,29.1,0.805,154.4
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,Europe,UK,Manchester,DEP006,Manchester Distribution Depot,VEH0023,Two-Wheeler (Last Mile),Petrol,40,DRV0024,Wei Garcia,11.2,TRIP602117,2026-01-02,Jan-2026,Q1,Friday,RT-Route-Downtown,Route-Downtown,215.0,212.9,354.2,374.0,5.22,0.0,40.79,km/L,28,27,1,No,33.2,Loading/Unloading Delay,7.8,No,None,17.7,44.25,95.64,13.99,0.61,136.59
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,Europe,Germany,Berlin,DEP007,Berlin Distribution Depot,VEH0025,Two-Wheeler (Last Mile),Petrol,40,DRV0026,Fatima Reddy,11.7,TRIP602319,2026-01-02,Jan-2026,Q1,Friday,RT-Route-West,Route-West,53.0,54.7,74.6,79.3,1.26,0.0,43.53,km/L,12,12,0,Yes,2.1,No Downtime,35.6,No,None,14.3,35.75,91.15,3.38,0.364,21.54
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,Europe,Germany,Berlin,DEP007,Berlin Distribution Depot,VEH0026,Delivery Van,Diesel,1200,DRV0027,Sofia Silva,5.7,TRIP602417,2026-01-02,Jan-2026,Q1,Friday,RT-Route-West,Route-West,176.4,187.5,252.3,311.8,10.65,0.0,17.6,km/L,12,12,0,Yes,18.4,Traffic Delay,38.4,No,None,695.1,57.93,76.13,28.54,0.432,93.97
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,Europe,Germany,Berlin,DEP007,Berlin Distribution Depot,VEH0027,Delivery Van,Diesel,1200,DRV0028,Sofia Weber,5.7,TRIP602510,2026-01-02,Jan-2026,Q1,Friday,RT-Route-West,Route-West,103.4,101.9,122.8,150.9,6.61,0.0,15.42,km/L,9,6,3,No,119.4,Scheduled Maintenance,8.2,No,None,426.1,35.51,82.58,17.71,0.387,46.78
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,Europe,Germany,Berlin,DEP007,Berlin Distribution Depot,VEH0028,Box Truck,Diesel,4500,DRV0029,Liam Lopez,2.5,TRIP602607,2026-01-02,Jan-2026,Q1,Friday,RT-Route-Industrial,Route-Industrial,57.6,61.5,63.1,77.9,8.05,0.0,7.64,km/L,21,21,0,Yes,2.1,No Downtime,36.9,No,None,1491.4,33.14,75.86,21.57,0.772,55.96
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,Europe,Germany,Munich,DEP008,Munich Distribution Depot,VEH0030,Delivery Van,Diesel,1200,DRV0031,Fatima Turner,7.6,TRIP602793,2026-01-02,Jan-2026,Q1,Friday,RT-Route-Suburb,Route-Suburb,109.6,108.4,128.2,131.8,6.98,0.0,15.53,km/L,16,14,2,No,148.8,Scheduled Maintenance,22.0,No,None,481.2,40.1,98.35,18.71,0.642,76.57
